order_id,order_date,customer_name,order_priority,product_id,quantity
IN-2011-69366,9/1/2011,Alejandro Grove,Medium,OFF-BI-10003874,2
ES-2011-1460199,12/1/2011,Roy Phan,Medium,OFF-BI-10000081,2
CA-2011-118192,14-01-2011,Michael Moore,Medium,OFF-BI-10003476,2
ES-2011-3906248,22-01-2011,Marc Harrigan,Medium,OFF-BI-10004722,2
ES-2011-2205486,1/2/2011,Ionia McGrath,Medium,OFF-BI-10001717,2
CA-2011-123400,3/2/2011,Eric Barreto,Medium,OFF-BI-10000666,2
SF-2011-2090,4/2/2011,Tom Stivers,Medium,OFF-WIL-10002772,2
CA-2011-108182,7/2/2011,Delfina Latchford,Medium,OFF-BI-10001196,2
IZ-2011-9890,8/2/2011,Julia Barnett,Medium,OFF-ACC-10000233,2
CA-2011-168368,12/2/2011,Guy Armstrong,Medium,OFF-BI-10004728,2
MX-2011-133816,16-02-2011,Matt Hagelstein,Medium,OFF-BI-10004142,2
ES-2011-3227800,1/3/2011,Jeremy Farry,Medium,OFF-BI-10003650,2
ES-2011-4926746,3/3/2011,Roger Barcio,Medium,OFF-BI-10000542,2
US-2011-131982,7/3/2011,Nora Pelletier,Medium,OFF-BI-10004224,2
CA-2011-8990,8/3/2011,Dennis Kane,Medium,OFF-IBI-10004074,2
NI-2011-4070,8/3/2011,Georgia Rosenberg,Medium,OFF-ACC-10002220,2
CA-2011-114510,14-03-2011,Jason Fortune-,Medium,OFF-BI-10003007,2
US-2011-164763,17-03-2011,Mark Haberlin,Medium,OFF-BI-10000309,2
MX-2011-124408,28-03-2011,Don Weiss,Medium,OFF-BI-10004142,2
MX-2011-142307,28-03-2011,Julie Kriz,Medium,OFF-BI-10002483,2
CA-2011-128055,31-03-2011,Alex Avila,Medium,OFF-BI-10004390,2
CA-2011-138359,1/4/2011,Katharine Harms,Medium,OFF-BI-10000145,2
US-2011-128685,4/4/2011,Mary Zewe,Medium,OFF-BI-10004140,2
ES-2011-4864498,12/4/2011,Becky Castell,Medium,OFF-BI-10000894,2
ES-2011-4864498,12/4/2011,Becky Castell,Medium,OFF-BI-10000312,2
MX-2011-132815,20-04-2011,Stewart Carmichael,Medium,OFF-BI-10000501,2
MX-2011-164322,22-04-2011,Sean O'Donnell,Medium,OFF-BI-10000816,2
MX-2011-147984,22-04-2011,Christine Kargatis,Medium,OFF-BI-10000827,2
CA-2011-118976,28-04-2011,Muhammed Yedwab,Medium,OFF-BI-10001628,2
NI-2011-2720,28-04-2011,Kean Thornton,Medium,OFF-IBI-10001640,2
CA-2011-5840,3/5/2011,Cindy Chapman,Medium,OFF-ACC-10000102,2
MX-2011-142097,10/5/2011,Stuart Calhoun,Medium,OFF-BI-10003372,2
US-2011-105767,23-05-2011,Andrew Roberts,Medium,OFF-BI-10000848,2
IN-2011-29067,30-05-2011,Shui Tom,Medium,OFF-BI-10000168,2
ES-2011-4040727,1/6/2011,Anthony Johnson,Medium,OFF-BI-10003440,2
IT-2011-5193547,2/6/2011,Steven Ward,Medium,OFF-BI-10001621,2
TU-2011-9940,2/6/2011,Natalie Webber,Medium,OFF-IBI-10004959,2
IN-2011-75540,2/6/2011,Alyssa Tate,Medium,OFF-BI-10003012,2
MX-2011-122847,3/6/2011,Alex Russell,Medium,OFF-BI-10000813,2
NI-2011-700,6/6/2011,Skye Norling,Medium,OFF-IBI-10001772,2
CA-2011-108147,8/6/2011,Rick Duston,Medium,OFF-BI-10003876,2
ES-2011-3540276,8/6/2011,Allen Rosenblatt,Medium,OFF-BI-10004722,2
NI-2011-8500,20-06-2011,Ann Steele,Medium,OFF-ACC-10004322,2
CA-2011-138317,21-06-2011,Natalie Webber,Medium,OFF-BI-10000069,2
IN-2011-24986,22-06-2011,Giulietta Weimer,Medium,OFF-BI-10000871,2
US-2011-158442,30-06-2011,Gary Hansen,Medium,OFF-BI-10000542,2
MX-2011-111458,13-07-2011,Maribeth Schnelling,Medium,OFF-BI-10003503,2
CA-2011-138198,18-07-2011,Jack Lebron,Medium,OFF-BI-10002103,2
US-2011-150434,19-07-2011,Christine Abelman,Medium,OFF-BI-10003694,2
CA-2011-168158,19-07-2011,Eugene Moren,Medium,OFF-BI-10001759,2
CA-2011-141726,20-07-2011,Charles Crestani,Medium,OFF-BI-10001982,2
US-2011-129504,22-07-2011,Max Jones,Medium,OFF-BI-10000821,2
IN-2011-25882,23-07-2011,Lela Donovan,Medium,OFF-BI-10002712,2
MX-2011-122994,24-07-2011,James Lanier,Medium,OFF-BI-10004177,2
ES-2011-1916591,27-07-2011,Dan Reichenbach,Medium,OFF-BI-10004712,2
IZ-2011-600,28-07-2011,Daniel Byrd,Medium,OFF-CAR-10000202,2
IN-2011-34478,8/8/2011,Barbara Fisher,Medium,OFF-BI-10000439,2
ES-2011-5004766,11/8/2011,Philip Brown,Medium,OFF-BI-10001253,2
ES-2011-2324896,15-08-2011,Frank Carlisle,Medium,OFF-BI-10004195,2
AG-2011-1390,16-08-2011,Duane Huffman,Medium,OFF-IBI-10000440,2
ES-2011-1712442,16-08-2011,Alice McCarthy,Medium,OFF-BI-10001055,2
CA-2011-133158,19-08-2011,David Wiener,Medium,OFF-BI-10000632,2
CA-2011-154837,23-08-2011,Robert Barroso,Medium,OFF-BI-10001575,2
MO-2011-3170,23-08-2011,Lauren Leatherbury,Medium,OFF-WIL-10003774,2
MZ-2011-2490,24-08-2011,Sample Company A,Medium,OFF-IBI-10001640,2
CA-2011-106719,24-08-2011,Robert Barroso,Medium,OFF-BI-10002799,2
IZ-2011-20,25-08-2011,Eudokia Martin,Medium,OFF-ACC-10001285,2
BO-2011-9310,27-08-2011,Erica Smith,Medium,OFF-ACC-10004182,2
ES-2011-3734581,30-08-2011,Anthony O'Donnell,Medium,OFF-BI-10003152,2
IT-2011-4626649,1/9/2011,Parhena Norris,Medium,OFF-BI-10002894,2
CA-2011-152268,2/9/2011,Sanjit Chand,Medium,OFF-BI-10001359,2
IN-2011-52748,2/9/2011,Ben Wallace,Medium,OFF-BI-10004140,2
IN-2011-50060,6/9/2011,Matt Collins,Medium,OFF-BI-10002364,2
ES-2011-2627929,7/9/2011,Grant Thornton,Medium,OFF-BI-10001754,2
CA-2011-117765,7/9/2011,Rick Bensley,Medium,OFF-BI-10000474,2
CA-2011-105165,7/9/2011,Sam Zeldin,Medium,OFF-BI-10000050,2
ES-2011-2187197,8/9/2011,David Philippe,Medium,OFF-BI-10004227,2
MX-2011-129826,8/9/2011,Alejandro Ballentine,Medium,OFF-BI-10000423,2
CA-2011-140032,8/9/2011,Toby Swindell,Medium,OFF-BI-10000822,2
US-2011-119081,12/9/2011,Tom Ashbrook,Medium,OFF-BI-10004519,2
US-2011-127635,14-09-2011,Scott Cohen,Medium,OFF-BI-10001721,2
CA-2011-159184,14-09-2011,John Castell,Medium,OFF-BI-10001890,2
RS-2011-4670,15-09-2011,Michael Paige,Medium,OFF-ACC-10003788,2
